mechanism,rate,method,incidents,reciprocal_rank,reciprocal_rank_sd,avg_at_5,hit_at_1,hit_at_3,hit_at_5,normalized_rank,elapsed_ms,realized_rate,reciprocal_rank_se
none,0.0,baro,375,0.5297457217590344,0.37824512161620355,0.5797333333333333,0.36533333333333334,0.592,0.744,0.08402831923468786,455.9538354645483,0.0,0.019532494090716737
none,0.0,median_shift,375,0.5018376041874897,0.36052809975024797,0.5829333333333333,0.30666666666666664,0.6426666666666667,0.7413333333333333,0.08747518791339977,111.87822213380907,0.0,0.018617591015633556
none,0.0,nsigma,375,0.7606198412698412,0.31498537557896306,0.8410666666666666,0.616,0.8853333333333333,0.9626666666666667,0.03169363197189283,397.1324970689602,0.0,0.016265774852216166
none,0.0,qarca,375,0.8903600644122383,0.25386679193539063,0.92,0.8346666666666667,0.9306666666666666,0.9786666666666667,0.02493017127799736,585.9773696021488,0.0,0.013109624764278283
none,0.0,qarca_no_incident_train,375,0.8915800074321812,0.25356291331162845,0.9205333333333333,0.8373333333333334,0.9333333333333333,0.9786666666666667,0.025389547650417215,582.1781904022209,0.0,0.013093932539623626
none,0.0,qarca_no_quality,375,0.8968890983412722,0.24993214488624077,0.9237333333333333,0.8453333333333334,0.936,0.9706666666666667,0.02611857707509881,581.9671856008159,0.0,0.012906440464350796
none,0.0,qarca_no_quality_original,375,0.869435821987996,0.2718159599734755,0.9056000000000001,0.8026666666666666,0.92,0.9733333333333334,0.027721387790953,581.9386938662889,0.0,0.014036515816142034
none,0.0,qarca_original_train,375,0.8621538114059853,0.27728555173227937,0.9002666666666668,0.792,0.9173333333333333,0.9706666666666667,0.02905032938076416,582.2628872022033,0.0,0.01431896432004071
none,0.0,qarca_quality_only,375,0.27121572234918606,0.3319332655675777,0.22240000000000001,0.15733333333333333,0.23466666666666666,0.25333333333333335,0.3635164450293012,581.689995468439,0.0,0.017140960127939628
none,0.0,qarca_structural_only,375,0.2296610155639241,0.25747190120178276,0.23626666666666665,0.08,0.2613333333333333,0.4053333333333333,0.35204059334475385,581.4196701343171,0.0,0.013295791806278214
point,0.1,baro,375,0.5293558118940531,0.37875487050667717,0.5779733333333333,0.3664,0.5882666666666666,0.7429333333333334,0.08450767823453675,407.68864551920757,0.09999998422401103,0.019558817410230765
point,0.1,median_shift,375,0.4995905911934361,0.35749857885857117,0.5808533333333333,0.3021333333333333,0.6426666666666667,0.7394666666666667,0.0874364007768784,114.11502669338758,0.09999998422401103,0.018461147229494202
point,0.1,nsigma,375,0.760530683020683,0.3145042789241182,0.8412266666666666,0.6165333333333333,0.8856,0.9648,0.03181069828722002,337.82384242645156,0.09999998422401103,0.01624093112778776
point,0.1,qarca,375,0.8911025635234331,0.2479116543879305,0.9204266666666667,0.8351999999999999,0.9328000000000001,0.9783999999999999,0.024729292929292924,575.4268554668719,0.09999998422401103,0.012802102783669117
point,0.1,qarca_no_incident_train,375,0.8915951235559931,0.24950370232824537,0.9216000000000001,0.8357333333333333,0.9338666666666666,0.9794666666666667,0.024889328063241106,574.9611974658444,0.09999998422401103,0.012884315785791828
point,0.1,qarca_no_quality,375,0.8981666996052161,0.24485019769337424,0.9248000000000001,0.8477333333333332,0.9370666666666666,0.9717333333333332,0.025610540184453225,574.7814636267566,0.09999998422401103,0.012644009839760429
point,0.1,qarca_no_quality_original,375,0.8699012178320874,0.26937046165684386,0.9061866666666667,0.8032,0.9192,0.9741333333333334,0.027187615283267453,574.7586581331367,0.09999998422401103,0.013910230826095464
point,0.1,qarca_original_train,375,0.8652644860453557,0.27081098694716665,0.9034666666666668,0.7957333333333333,0.9223999999999999,0.9706666666666667,0.02809020641194554,575.0367252533014,0.09999998422401103,0.013984619232218274
point,0.1,qarca_quality_only,375,0.34555958736152426,0.2818135026242894,0.3568,0.1821333333333333,0.35813333333333336,0.5336,0.22370354904991985,574.4793400526512,0.09999998422401103,0.01455278669867004
point,0.1,qarca_structural_only,375,0.2296610155639241,0.25747190120178276,0.23626666666666665,0.08,0.2613333333333333,0.4053333333333333,0.35204059334475385,574.3030472784613,0.09999998422401103,0.013295791806278214
point,0.3,baro,375,0.529472797222354,0.37768457574226555,0.5768,0.36826666666666663,0.5853333333333334,0.7429333333333334,0.08480780426078648,410.2984343202785,0.299999954555718,0.01950354762625611
point,0.3,median_shift,375,0.49917216401185655,0.3561775906839595,0.5797866666666667,0.30186666666666667,0.6421333333333333,0.7378666666666667,0.08775622906589224,113.41175423941264,0.299999954555718,0.018392931693483428
point,0.3,nsigma,375,0.7616800574827519,0.31368167092021765,0.8423999999999999,0.6181333333333333,0.8864,0.9669333333333334,0.03157514273166446,340.4292293326929,0.299999954555718,0.01619845183312691
point,0.3,qarca,375,0.8943724508020161,0.23895196125092485,0.9241066666666667,0.8386666666666667,0.936,0.9794666666666667,0.02427448397013614,571.3618981869581,0.299999954555718,0.012339426219579093
