system,mechanism,rate,method,incidents,reciprocal_rank,reciprocal_rank_sd,avg_at_5,hit_at_1,hit_at_3,hit_at_5,normalized_rank,elapsed_ms,realized_rate,reciprocal_rank_se
OB,point,0.3,qarca_no_incident_train,125,0.8890666666666667,0.24275684768256117,0.92512,0.8216,0.9304,0.9944,0.031199999999999995,53.06333071920089,0.29999978859677606,0.02171283253687076
OB,point,0.3,qarca_no_quality,125,0.8862533333333333,0.2402527842885966,0.92704,0.816,0.944,0.9952000000000001,0.030399999999999996,52.91250487975776,0.29999978859677606,0.021488862298115814
OB,point,0.3,qarca_no_quality_original,125,0.8935866666666668,0.23934714220204667,0.92816,0.8296,0.9296,0.9944,0.02993333333333333,52.875645039230584,0.29999978859677606,0.021407859207363402
OB,point,0.3,qarca_original_train,125,0.8878133333333332,0.24357757811247688,0.92448,0.8232,0.9344,0.9936,0.031466666666666664,53.13334711915813,0.29999978859677606,0.021786240898170526
OB,point,0.3,qarca_quality_only,125,0.2544238095238095,0.1645045485510897,0.25552,0.056,0.2496,0.4712,0.39293604826546,52.63861983986571,0.29999978859677606,0.014713734126726044
OB,point,0.3,qarca_structural_only,125,0.14720000000000003,0.1817962938926926,0.0688,0.04,0.088,0.088,0.6897737556561087,52.53277167971246,0.29999978859677606,0.01626035484806362
OB,point,0.5,baro,125,0.85276,0.2596761064994975,0.90624,0.7544,0.9272,0.9848,0.039066666666666666,71.50298663955182,0.5000001190736444,0.023226137050614055
OB,point,0.5,median_shift,125,0.7189066666666666,0.2911105377022451,0.83824,0.516,0.9128,0.9872000000000001,0.06737435897435895,13.126426799641923,0.5000001190736444,0.026037718050749416
OB,point,0.5,nsigma,125,0.85568,0.2690828122653523,0.9032,0.7696000000000001,0.9376,0.9823999999999999,0.040333333333333325,59.336468159314244,0.5000001190736444,0.024067498392085676
OB,point,0.5,qarca,125,0.89046,0.23835146032276128,0.92512,0.8256,0.9288,0.9912000000000001,0.03133333333333333,54.30938439941965,0.5000001190736444,0.021318802712721525
OB,point,0.5,qarca_no_incident_train,125,0.8879866666666667,0.24274880965272236,0.92496,0.8208,0.932,0.9936,0.031266666666666665,54.04766023904085,0.5000001190736444,0.02171211359362577
OB,point,0.5,qarca_no_quality,125,0.8896933333333333,0.23707138120183602,0.9272,0.824,0.9384,0.996,0.03033333333333333,53.87775975945406,0.5000001190736444,0.021204308955482844
