system,fault,mechanism,rate,method,incidents,reciprocal_rank,reciprocal_rank_sd,avg_at_5,hit_at_1,hit_at_3,hit_at_5,normalized_rank,elapsed_ms,realized_rate,reciprocal_rank_se
OB,cpu,incident,0.3,qarca_original_train,25,0.08521965811965809,0.006432698395697177,0.0,0.0,0.0,0.0,0.8902156862745098,47.2416476032231,0.3,0.0012865396791394354
OB,cpu,incident,0.3,qarca_quality_only,25,1.0,0.0,1.0,1.0,1.0,1.0,0.0,46.74364840518683,0.3,0.0
OB,cpu,incident,0.3,qarca_structural_only,25,0.1,0.0,0.0,0.0,0.0,0.0,0.7411764705882353,46.65836000116542,0.3,0.0
OB,cpu,incident,0.5,baro,25,0.21197282717282717,0.18150482109248456,0.1816,0.05600000000000001,0.188,0.312,0.5442156862745098,61.29844079865143,0.5,0.03630096421849691
OB,cpu,incident,0.5,median_shift,25,0.42732534132534133,0.27285717012341415,0.4864,0.23199999999999998,0.516,0.68,0.29937254901960786,11.374847201164812,0.5,0.05457143402468283
OB,cpu,incident,0.5,nsigma,25,0.14290042180042178,0.05945343470149313,0.0696,0.012000000000000002,0.052000000000000005,0.172,0.6352156862745099,50.25007680058479,0.5,0.011890686940298625
OB,cpu,incident,0.5,qarca,25,0.982,0.09000000000000002,0.9928,0.9640000000000001,1.0,1.0,0.0029999999999999988,49.06288999947719,0.5,0.018000000000000006
OB,cpu,incident,0.5,qarca_no_incident_train,25,0.4902809523809523,0.28213000395826904,0.552,0.28800000000000003,0.58,0.748,0.20741176470588232,48.846201999578625,0.5,0.05642600079165381
OB,cpu,incident,0.5,qarca_no_quality,25,0.42964444444444444,0.25507279045961495,0.5272,0.184,0.5760000000000001,0.76,0.228156862745098,48.651061199605465,0.5,0.05101455809192299
OB,cpu,incident,0.5,qarca_no_quality_original,25,0.35315238095238094,0.2270329103606596,0.3856,0.136,0.396,0.568,0.3220980392156863,48.68196840235032,0.5,0.04540658207213192
OB,cpu,incident,0.5,qarca_original_train,25,0.0879291042291042,0.008535477662369494,0.0,0.0,0.0,0.0,0.8647450980392156,48.85317839961499,0.5,0.0017070955324738988
OB,cpu,incident,0.5,qarca_quality_only,25,0.988,0.04153311931459037,0.9952,0.976,1.0,1.0,0.001999999999999999,48.46128800185397,0.5,0.008306623862918073
OB,cpu,incident,0.5,qarca_structural_only,25,0.1,0.0,0.0,0.0,0.0,0.0,0.7411764705882353,48.319876002147794,0.5,0.0
OB,cpu,none,0.0,baro,25,0.92,0.18708286933869703,0.968,0.84,1.0,1.0,0.013333333333333329,65.71665999945253,0.0,0.0374165738677394
OB,cpu,none,0.0,median_shift,25,0.7866666666666667,0.2701165729142937,0.904,0.6,1.0,1.0,0.03999999999999999,11.96690400596708,0.0,0.054023314582858736
OB,cpu,none,0.0,nsigma,25,0.8866666666666667,0.23432329676625713,0.9440000000000001,0.8,1.0,1.0,0.023333333333333327,66.39241200638935,0.0,0.046864659353251424
OB,cpu,none,0.0,qarca,25,0.94,0.16583123951776998,0.976,0.88,1.0,1.0,0.009999999999999995,52.61487200623378,0.0,0.033166247903554
OB,cpu,none,0.0,qarca_no_incident_train,25,0.94,0.16583123951776998,0.976,0.88,1.0,1.0,0.009999999999999995,47.69506400451064,0.0,0.033166247903554
OB,cpu,none,0.0,qarca_no_quality,25,0.94,0.16583123951776998,0.976,0.88,1.0,1.0,0.009999999999999995,47.52748800208792,0.0,0.033166247903554
OB,cpu,none,0.0,qarca_no_quality_original,25,0.94,0.16583123951776998,0.976,0.88,1.0,1.0,0.009999999999999995,47.545668000821024,0.0,0.033166247903554
OB,cpu,none,0.0,qarca_original_train,25,0.94,0.16583123951776998,0.976,0.88,1.0,1.0,0.009999999999999995,47.76806000620127,0.0,0.033166247903554
OB,cpu,none,0.0,qarca_quality_only,25,0.1,0.0,0.0,0.0,0.0,0.0,0.7411764705882353,47.210631996858865,0.0,0.0
OB,cpu,none,0.0,qarca_structural_only,25,0.1,0.0,0.0,0.0,0.0,0.0,0.7411764705882353,47.15757200261578,0.0,0.0
OB,cpu,point,0.1,baro,25,0.9179999999999999,0.18645821694596,0.9672,0.836,1.0,1.0,0.013666666666666662,62.97131280042231,0.1,0.037291643389192
OB,cpu,point,0.1,median_shift,25,0.7966666666666667,0.2586915079709736,0.9096000000000001,0.616,1.0,1.0,0.037666666666666654,11.820296799764037,0.1,0.05173830159419472
OB,cpu,point,0.1,nsigma,25,0.8826666666666667,0.23315866478208133,0.9423999999999999,0.792,1.0,1.0,0.02399999999999999,53.10076120006852,0.1,0.04663173295641627
OB,cpu,point,0.1,qarca,25,0.946,0.15132745950421558,0.9784,0.892,1.0,1.0,0.008999999999999998,47.969184001209214,0.1,0.030265491900843117
OB,cpu,point,0.1,qarca_no_incident_train,25,0.946,0.15132745950421558,0.9784,0.892,1.0,1.0,0.008999999999999998,47.74092519888654,0.1,0.030265491900843117
